First name,Last initial,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
Sheila,S,28,female,3,own,moderate,rich,2923,21,car
Jose,C,26,male,2,own,little,little,8229,36,car
Johnnie,A,30,male,1,own,little,,2028,24,furniture/equipment
Kelly,S,25,female,2,rent,little,little,1433,15,furniture/equipment
Donald,A,33,male,2,own,little,rich,6289,42,business
Melissa,K,64,female,2,own,moderate,,1409,13,radio/TV
Gary,B,29,male,3,free,little,little,6579,24,car
Patrick,Q,48,male,1,own,little,moderate,1743,24,radio/TV
Brandon,L,37,male,1,own,,,3565,12,education
Jessie,N,34,male,1,own,moderate,,1569,15,radio/TV
Kevin,A,23,male,1,rent,,little,1936,18,radio/TV
Charles,E,30,male,3,own,little,little,3959,36,furniture/equipment
Eduardo,O,50,male,2,own,,,2390,12,car
Virgen,X,31,female,1,own,little,,1736,12,furniture/equipment
Travis,L,40,male,3,own,little,little,3857,30,car
Benjamin,Z,38,male,2,own,little,,804,12,radio/TV
Keith,R,23,male,2,free,little,little,1845,45,radio/TV
Richard,L,27,male,2,own,moderate,moderate,4576,45,car
